"y" "group" "x1" "x2"
"206" 2 21 0.56 0
"207" 2 21 0.67 1
"208" 1 21 0.78 0.89
"209" 2 21 0.89 0.11
"210" 15 21 1 0.44
"211" 0 22 0 0.22
"212" 2 22 0.11 0.78
"213" 8 22 0.22 0.33
"214" 5 22 0.33 0.67
"215" 4 22 0.44 0.56
"216" 14 22 0.56 0
"217" 5 22 0.67 1
"218" 8 22 0.78 0.89
"219" 24 22 0.89 0.11
"220" 21 22 1 0.44
"221" 2 23 0 0.22
"222" 0 23 0.11 0.78
"223" 3 23 0.22 0.33
"224" 2 23 0.33 0.67
"225" 4 23 0.44 0.56
"226" 8 23 0.56 0
"227" 9 23 0.67 1
"228" 5 23 0.78 0.89
"229" 12 23 0.89 0.11
"230" 20 23 1 0.44
"231" 0 24 0 0.22
"232" 1 24 0.11 0.78
"233" 5 24 0.22 0.33
"234" 2 24 0.33 0.67
"235" 2 24 0.44 0.56
"236" 4 24 0.56 0
"237" 4 24 0.67 1
"238" 1 24 0.78 0.89
"239" 6 24 0.89 0.11
"240" 11 24 1 0.44
"241" 3 25 0 0.22
"242" 2 25 0.11 0.78
"243" 7 25 0.22 0.33
"244" 3 25 0.33 0.67
"245" 2 25 0.44 0.56
"246" 14 25 0.56 0
"247" 6 25 0.67 1
"248" 9 25 0.78 0.89
"249" 32 25 0.89 0.11
"250" 24 25 1 0.44
"251" 4 26 0 0.22
"252" 1 26 0.11 0.78
"253" 3 26 0.22 0.33
"254" 7 26 0.33 0.67
"255" 5 26 0.44 0.56
"256" 12 26 0.56 0
"257" 6 26 0.67 1
"258" 7 26 0.78 0.89
"259" 23 26 0.89 0.11
"260" 13 26 1 0.44
"261" 5 27 0 0.22
"262" 1 27 0.11 0.78
"263" 3 27 0.22 0.33
"264" 3 27 0.33 0.67
"265" 1 27 0.44 0.56
"266" 5 27 0.56 0
"267" 2 27 0.67 1
"268" 2 27 0.78 0.89
"269" 8 27 0.89 0.11
"270" 7 27 1 0.44
"271" 3 28 0 0.22
"272" 2 28 0.11 0.78
"273" 6 28 0.22 0.33
"274" 2 28 0.33 0.67
"275" 5 28 0.44 0.56
"276" 14 28 0.56 0
"277" 8 28 0.67 1
"278" 6 28 0.78 0.89
"279" 22 28 0.89 0.11
"280" 16 28 1 0.44
"281" 3 29 0 0.22
"282" 0 29 0.11 0.78
"283" 5 29 0.22 0.33
"284" 5 29 0.33 0.67
"285" 6 29 0.44 0.56
"286" 11 29 0.56 0
"287" 7 29 0.67 1
"288" 7 29 0.78 0.89
"289" 21 29 0.89 0.11
"290" 24 29 1 0.44
"291" 3 30 0 0.22
"292" 2 30 0.11 0.78
"293" 11 30 0.22 0.33
"294" 3 30 0.33 0.67
"295" 6 30 0.44 0.56
"296" 8 30 0.56 0
"297" 3 30 0.67 1
"298" 6 30 0.78 0.89
"299" 22 30 0.89 0.11
"300" 15 30 1 0.44
